n	candidate	case	dependency	identity	state	expected	observed	reason	verdict	command	transcript
001	openbao	retained	gen/app/g1@1	metadata	baseline	retained	retained	version present, not deleted	match	classify openbao-kv secret gen/app/g1 1 	transcripts/001-openbao-retained.txt
002	openbao	retained	gen/scheduled/g1@1	metadata	baseline	retained	retained	deletion scheduled for 2026-09-24T20:51:04Z	match	classify openbao-kv secret gen/scheduled/g1 1 	transcripts/002-openbao-retained.txt
003	openbao	retained	mutable/registry@2	metadata	baseline	retained	retained	version present, not deleted	match	classify openbao-kv secret mutable/registry 2 	transcripts/003-openbao-retained.txt
004	openbao	pruned	mutable/registry@1	metadata	baseline	lost	lost	pruned: below oldest_version 2	match	classify openbao-kv secret mutable/registry 1 	transcripts/004-openbao-pruned.txt
005	openbao	truth	mutable/registry	admin	baseline	ok	ok	-	match	as admin truth secret mutable/registry 	transcripts/005-openbao-truth.txt
006	openbao	not-yet	mutable/registry@12	metadata	baseline	unknown	unknown	version 12 is above current_version 11	match	classify openbao-kv secret mutable/registry 12 	transcripts/006-openbao-not-yet.txt
007	openbao	retained	rc-art@1	metadata	baseline	retained	retained	key version 1 within latest 1, decryption floor 1	match	classify openbao-transit transit rc-art 1 	transcripts/007-openbao-retained.txt
008	openbao	denied	other-kv:gen/app/g1@1	metadata	baseline	unknown	unknown	denied: HTTP 403	match	classify openbao-kv other-kv gen/app/g1 1 	transcripts/008-openbao-denied.txt
009	openbao	denied	other-transit:rc-other@1	metadata	baseline	unknown	unknown	denied: HTTP 403	match	classify openbao-transit other-transit rc-other 1 	transcripts/009-openbao-denied.txt
010	openbao	absent	secret:gen/never/g1@1	metadata	baseline	unknown	unknown	absent: HTTP 404	match	classify openbao-kv secret gen/never/g1 1 	transcripts/010-openbao-absent.txt
011	openbao	watch	gen/app/g1@1	metadata	baseline	retained	retained	monitor after 1 observations: alert=no	match	watch gen-app-g1 1 0 openbao-kv secret gen/app/g1 1 	transcripts/011-openbao-watch.txt
012	openbao	inject	gen/soft/g1@1	operator	baseline	ok	ok	-	match	inject bao-soft-delete gen/soft/g1 1 	transcripts/012-openbao-inject.txt
