base	case	control	result	detail
fixture	alias	fidelity-check-fires	fired	a trace leaf's tracer replaced by a non-tracer
fixture	alias	render-identity	pass	every configuration re-rendered with nothing redacted is the text talosctl or bwref wrote
fixture	alias	resolution-records-match	pass	2 records
fixture	alias	trace-holds-no-secret	pass	the trace pass's compositions, fragments and messages hold no form of 1 case values (0 exempt: booleans, authored literals)
fixture	alias	base-holds-no-case-secret	pass	-
fixture	alias	schema-covers-base-secrets	pass	9 schema leaves hold every secrets-bundle value
fixture	bool	fidelity-check-fires	not-applicable	a trace leaf's tracer replaced by a non-tracer
fixture	bool	render-identity	pass	every configuration re-rendered with nothing redacted is the text talosctl or bwref wrote
fixture	bool	resolution-records-match	pass	1 records
fixture	bool	trace-holds-no-secret	pass	the trace pass's compositions, fragments and messages hold no form of 0 case values (1 exempt: booleans, authored literals)
fixture	bool	base-holds-no-case-secret	pass	-
fixture	bool	schema-covers-base-secrets	pass	9 schema leaves hold every secrets-bundle value
fixture	bool	per-side-diff-exposes-base-value	fired	1 base leaves shown beside a redacted output leaf without pairing
fixture	bytes	fidelity-check-fires	not-applicable	a trace leaf's tracer replaced by a non-tracer
fixture	bytes	render-identity	pass	every configuration re-rendered with nothing redacted is the text talosctl or bwref wrote
fixture	bytes	resolution-records-match	pass	1 records
fixture	bytes	trace-holds-no-secret	pass	the trace pass's compositions, fragments and messages hold no form of 1 case values (0 exempt: booleans, authored literals)
fixture	bytes	base-holds-no-case-secret	pass	-
fixture	bytes	schema-covers-base-secrets	pass	9 schema leaves hold every secrets-bundle value
fixture	collision	fidelity-check-fires	fired	a trace leaf's tracer replaced by a non-tracer
fixture	collision	render-identity	pass	every configuration re-rendered with nothing redacted is the text talosctl or bwref wrote
fixture	collision	resolution-records-match	pass	1 records
fixture	collision	trace-holds-no-secret	pass	the trace pass's compositions, fragments and messages hold no form of 2 case values (0 exempt: booleans, authored literals)
fixture	collision	base-holds-no-case-secret	pass	-
fixture	collision	schema-covers-base-secrets	pass	9 schema leaves hold every secrets-bundle value
fixture	delete	fidelity-check-fires	not-applicable	a trace leaf's tracer replaced by a non-tracer
fixture	delete	render-identity	pass	every configuration re-rendered with nothing redacted is the text talosctl or bwref wrote
fixture	delete	resolution-records-match	pass	1 records
fixture	delete	trace-holds-no-secret	pass	the trace pass's compositions, fragments and messages hold no form of 1 case values (0 exempt: booleans, authored literals)
fixture	delete	base-holds-no-case-secret	pass	-
fixture	delete	schema-covers-base-secrets	pass	9 schema leaves hold every secrets-bundle value
fixture	document	fidelity-check-fires	fired	a trace leaf's tracer replaced by a non-tracer
fixture	document	render-identity	pass	every configuration re-rendered with nothing redacted is the text talosctl or bwref wrote
fixture	document	resolution-records-match	pass	1 records
fixture	document	trace-holds-no-secret	pass	the trace pass's compositions, fragments and messages hold no form of 1 case values (0 exempt: booleans, authored literals)
fixture	document	base-holds-no-case-secret	pass	-
fixture	document	schema-covers-base-secrets	pass	9 schema leaves hold every secrets-bundle value
fixture	duplicate-literal	fidelity-check-fires	fired	a trace leaf's tracer replaced by a non-tracer
fixture	duplicate-literal	render-identity	pass	every configuration re-rendered with nothing redacted is the text talosctl or bwref wrote
fixture	duplicate-literal	resolution-records-match	pass	1 records
fixture	duplicate-literal	trace-holds-no-secret	pass	the trace pass's compositions, fragments and messages hold no form of 0 case values (1 exempt: booleans, authored literals)
fixture	duplicate-literal	base-holds-no-case-secret	pass	-
fixture	duplicate-literal	schema-covers-base-secrets	pass	9 schema leaves hold every secrets-bundle value
fixture	embedded-json	fidelity-check-fires	fired	a trace leaf's tracer replaced by a non-tracer
fixture	embedded-json	render-identity	pass	every configuration re-rendered with nothing redacted is the text talosctl or bwref wrote
fixture	embedded-json	resolution-records-match	pass	1 records
fixture	embedded-json	trace-holds-no-secret	pass	the trace pass's compositions, fragments and messages hold no form of 1 case values (0 exempt: booleans, authored literals)
fixture	embedded-json	base-holds-no-case-secret	pass	-
fixture	embedded-json	schema-covers-base-secrets	pass	9 schema leaves hold every secrets-bundle value
fixture	embedded-yaml	fidelity-check-fires	fired	a trace leaf's tracer replaced by a non-tracer
fixture	embedded-yaml	render-identity	pass	every configuration re-rendered with nothing redacted is the text talosctl or bwref wrote
fixture	embedded-yaml	resolution-records-match	pass	1 records
