n	group	row	expected	observed	verdict	transcript
001	rpc-client	v1.12.12-talosctl	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match seen:skew_warning rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 after.is=artifact after.landed=1	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match skew_warning=0 rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 after.is=artifact after.landed=1	match	transcripts/rpc-client.txt#001-rpc-client-v1.12.12-talosctl
002	rpc-client	v1.12.12-machinery	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 seen:apply_warnings after.is=artifact after.landed=1	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 apply_warnings=0 after.is=artifact after.landed=1	match	transcripts/rpc-client.txt#002-rpc-client-v1.12.12-machinery
003	rpc-client	v1.13.0-talosctl	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match seen:skew_warning rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 after.is=artifact after.landed=1	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match skew_warning=0 rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 after.is=artifact after.landed=1	match	transcripts/rpc-client.txt#003-rpc-client-v1.13.0-talosctl
004	rpc-client	v1.13.0-machinery	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 seen:apply_warnings after.is=artifact after.landed=1	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 apply_warnings=0 after.is=artifact after.landed=1	match	transcripts/rpc-client.txt#004-rpc-client-v1.13.0-machinery
005	rpc-client	v1.13.6-talosctl	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match seen:skew_warning rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 after.is=artifact after.landed=1	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match skew_warning=0 rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 after.is=artifact after.landed=1	match	transcripts/rpc-client.txt#005-rpc-client-v1.13.6-talosctl
006	rpc-client	v1.13.6-machinery	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 seen:apply_warnings after.is=artifact after.landed=1	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 apply_warnings=0 after.is=artifact after.landed=1	match	transcripts/rpc-client.txt#006-rpc-client-v1.13.6-machinery
007	rpc-client	v1.13.10-talosctl	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match seen:skew_warning rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 after.is=artifact after.landed=1	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match skew_warning=1 rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 after.is=artifact after.landed=1	match	transcripts/rpc-client.txt#007-rpc-client-v1.13.10-talosctl
008	rpc-client	v1.13.10-machinery	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 seen:apply_warnings after.is=artifact after.landed=1	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 apply_warnings=0 after.is=artifact after.landed=1	match	transcripts/rpc-client.txt#008-rpc-client-v1.13.10-machinery
009	rpc-client	v1.14.1-talosctl	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match seen:skew_warning rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 after.is=artifact after.landed=1	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match skew_warning=1 rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 after.is=artifact after.landed=1	match	transcripts/rpc-client.txt#009-rpc-client-v1.14.1-talosctl
010	rpc-client	v1.14.1-machinery	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 seen:apply_warnings after.is=artifact after.landed=1	rc:version=0 node_tag=v1.13.6 rc:read=0 read=match rc:dry=0 after-dry.is=pre after-dry.landed=0 rc:apply=0 apply_warnings=0 after.is=artifact after.landed=1	match	transcripts/rpc-client.txt#010-rpc-client-v1.14.1-machinery
