n	case	release	action	identity	state	expected	observed	reason	verdict	command	transcript
001	setup	g1	snapshot	operator	-	ok	ok	-	match	snapshot_all g1 	transcripts/001-setup-snapshot.txt
002	setup	R1	rewrap	admin	-	ok	ok	-	match	admin rewrap R1 	transcripts/002-setup-rewrap.txt
003	setup	kl-art	floor	admin	-	ok	ok	-	match	admin bao write transit/keys/kl-art/config min_decryption_version=2 	transcripts/003-setup-floor.txt
004	setup	executor2	issue	admin	-	ok	ok	-	match	admin issue executor kl-executor 	transcripts/004-setup-issue.txt
005	setup	executor1	revoke	admin	-	ok	ok	-	match	admin bao token revoke -accessor 8Xdt3c7C6eG3jcyxLMsSmEh3 	transcripts/005-setup-revoke.txt
006	setup	g2	snapshot	operator	-	ok	ok	-	match	snapshot_all g2 	transcripts/006-setup-snapshot.txt
007	setup	g3	releases	admin	-	ok	ok	-	match	releases 	transcripts/007-setup-releases.txt
008	A	kl-art	truth	admin	A-live	ok	ok	-	match	admin key_truth kl-art 	transcripts/008-A-truth.txt
009	A	R1	apply	executor	A-live	ok	ok	-	match	release apply R1 	transcripts/009-A-apply.txt
010	A	R1	regen	compiler	A-live	ok	ok	-	match	release regen R1 	transcripts/010-A-regen.txt
011	A	R1	check	operator	A-live	applicable	applicable	the stored artifact decrypts to its recorded digest	match	release check R1 	transcripts/011-A-check.txt
012	A	R2	apply	executor	A-live	ok	ok	-	match	release apply R2 	transcripts/012-A-apply.txt
013	A	R2	regen	compiler	A-live	ok	ok	-	match	release regen R2 	transcripts/013-A-regen.txt
014	A	R2	check	operator	A-live	applicable	applicable	the stored artifact decrypts to its recorded digest	match	release check R2 	transcripts/014-A-check.txt
015	A	R3	apply	executor	A-live	ok	ok	-	match	release apply R3 	transcripts/015-A-apply.txt
016	A	R3	regen	compiler	A-live	ok	ok	-	match	release regen R3 	transcripts/016-A-regen.txt
017	A	R3	check	operator	A-live	applicable	applicable	the stored artifact decrypts to its recorded digest	match	release check R3 	transcripts/017-A-check.txt
018	B	kl/app@1	inject	operator	A-live	ok	ok	-	match	inject bao-destroy kl/app 1 	transcripts/018-B-inject.txt
019	B	kl/app	truth	admin	B-source-destroyed	ok	ok	-	match	admin kv_truth kl/app 	transcripts/019-B-truth.txt
020	B	R1	apply	executor	B-source-destroyed	ok	ok	-	match	release apply R1 	transcripts/020-B-apply.txt
021	B	R1	regen	compiler	B-source-destroyed	fail	fail	-	match	release regen R1 	transcripts/021-B-regen.txt
022	B	R1	check	operator	B-source-destroyed	applicable	applicable	the stored artifact decrypts to its recorded digest	match	release check R1 	transcripts/022-B-check.txt
023	B	R2	apply	executor	B-source-destroyed	ok	ok	-	match	release apply R2 	transcripts/023-B-apply.txt
024	B	R2	regen	compiler	B-source-destroyed	ok	ok	-	match	release regen R2 	transcripts/024-B-regen.txt
025	B	R2	check	operator	B-source-destroyed	applicable	applicable	the stored artifact decrypts to its recorded digest	match	release check R2 	transcripts/025-B-check.txt
026	C	kl-late	inject	operator	B-source-destroyed	ok	ok	-	match	inject bao-delete-key kl-late 	transcripts/026-C-inject.txt
027	C	kl/late@1	inject	operator	B-source-destroyed	ok	ok	-	match	inject bao-destroy kl/late 1 	transcripts/027-C-inject.txt
028	C	R3	apply	executor	C-late-lost	fail	fail	-	match	release apply R3 	transcripts/028-C-apply.txt
029	C	R3	regen	compiler	C-late-lost	fail	fail	-	match	release regen R3 	transcripts/029-C-regen.txt
030	C	R3	check	operator	C-late-lost	blocked	blocked	neither the stored artifact nor its source is usable in this combination	match	release check R3 	transcripts/030-C-check.txt
031	D	kl-art	inject	operator	C-late-lost	ok	ok	-	match	inject bao-delete-key kl-art 	transcripts/031-D-inject.txt
032	D	kl-art	truth	admin	D-key-deleted	fail	fail	-	match	admin key_truth kl-art 	transcripts/032-D-truth.txt
033	D	R1	apply	executor	D-key-deleted	fail	fail	-	match	release apply R1 	transcripts/033-D-apply.txt
034	D	R1	regen	compiler	D-key-deleted	fail	fail	-	match	release regen R1 	transcripts/034-D-regen.txt
035	D	R1	check	operator	D-key-deleted	blocked	blocked	neither the stored artifact nor its source is usable in this combination	match	release check R1 	transcripts/035-D-check.txt
036	D	R2	apply	executor	D-key-deleted	fail	fail	-	match	release apply R2 	transcripts/036-D-apply.txt
037	D	R2	regen	compiler	D-key-deleted	denied	denied	-	match	release regen R2 	transcripts/037-D-regen.txt
038	D	R2	check	operator	D-key-deleted	blocked	blocked	neither the stored artifact nor its source is usable in this combination	match	release check R2 	transcripts/038-D-check.txt
039	D	kl-art	upsert	admin	D-key-deleted	ok	ok	-	match	admin bao write -field=ciphertext transit/encrypt/kl-art plaintext=a2wtcHJvYmU= 	transcripts/039-D-upsert.txt
040	D	kl-art	truth	admin	D-key-deleted	ok	ok	-	match	admin key_truth kl-art 	transcripts/040-D-truth.txt
041	D	R2	apply	executor	D-key-deleted	fail	fail	-	match	release apply R2 	transcripts/041-D-apply.txt
042	D	R2	regen	compiler	D-key-deleted	ok	ok	-	match	release regen R2 	transcripts/042-D-regen.txt
043	D	R2	check	operator	D-key-deleted	regenerable	regenerable	the stored artifact does not apply; its source regenerates it, as a new release needing its own approval	match	release check R2 	transcripts/043-D-check.txt
044	E	g2	restore	operator	D-key-deleted	ok	ok	-	match	inject db-restore g2 	transcripts/044-E-restore.txt
045	E	g2	restore	operator	D-key-deleted	ok	ok	-	match	inject bao-restore g2 	transcripts/045-E-restore.txt
046	E	g2	restore	operator	D-key-deleted	ok	ok	-	match	inject store-restore g2 	transcripts/046-E-restore.txt
047	E	kl-art	truth	admin	E-all-g2	ok	ok	-	match	admin key_truth kl-art 	transcripts/047-E-truth.txt
048	E	kl/app	truth	admin	E-all-g2	ok	ok	-	match	admin kv_truth kl/app 	transcripts/048-E-truth.txt
049	E	kl-late	truth	admin	E-all-g2	fail	fail	-	match	admin key_truth kl-late 	transcripts/049-E-truth.txt
