base	case	item	expected	observed	match
fixture	alias	native	pass	pass	yes
fixture	alias	premise.tag	parity	parity	yes
fixture	alias	premise.marked	parity	parity	yes
fixture	alias	premise.binding	parity	parity	yes
fixture	alias	effective	reg-secret	reg-secret	yes
fixture	alias	overridden	-	-	yes
fixture	alias	unresolved	-	-	yes
fixture	alias	message.patch	none	none	yes
fixture	alias	message.validate	verbatim	verbatim	yes
fixture	alias	leak.none	leak	leak	yes
fixture	alias	leak.value	clean	clean	yes
fixture	alias	leak.resolution-path	leak	clean	no
fixture	alias	leak.schema	clean	clean	yes
fixture	alias	leak.composed-path	clean	clean	yes
fixture	alias	leak.path+schema	clean	clean	yes
fixture	alias	leak.path+schema+value	clean	clean	yes
fixture	alias	base-leak.none	leak	leak	yes
fixture	alias	base-leak.value	clean	clean	yes
fixture	alias	base-leak.resolution-path	leak	leak	yes
fixture	alias	base-leak.schema	clean	clean	yes
fixture	alias	base-leak.composed-path	leak	leak	yes
fixture	alias	base-leak.path+schema	clean	clean	yes
fixture	alias	base-leak.path+schema+value	clean	clean	yes
fixture	alias	fidelity	ok	ok	yes
fixture	bool	native	pass	pass	yes
fixture	bool	premise.tag	parity	parity	yes
fixture	bool	premise.marked	parity	parity	yes
fixture	bool	premise.binding	parity	parity	yes
fixture	bool	effective	wipe	wipe	yes
fixture	bool	overridden	-	-	yes
fixture	bool	unresolved	-	-	yes
fixture	bool	message.patch	none	none	yes
fixture	bool	message.validate	verbatim	verbatim	yes
fixture	bool	leak.none	leak	leak	yes
fixture	bool	leak.value	leak	leak	yes
fixture	bool	leak.resolution-path	clean	clean	yes
fixture	bool	leak.schema	leak	leak	yes
fixture	bool	leak.composed-path	clean	clean	yes
fixture	bool	leak.path+schema	clean	clean	yes
fixture	bool	leak.path+schema+value	clean	clean	yes
fixture	bool	base-leak.none	leak	leak	yes
fixture	bool	base-leak.value	clean	clean	yes
fixture	bool	base-leak.resolution-path	leak	leak	yes
fixture	bool	base-leak.schema	clean	clean	yes
fixture	bool	base-leak.composed-path	leak	leak	yes
fixture	bool	base-leak.path+schema	clean	clean	yes
fixture	bool	base-leak.path+schema+value	clean	clean	yes
fixture	bool	fidelity	ok	ok	yes
fixture	bytes	native	pass	pass	yes
fixture	bytes	premise.tag	parity	parity	yes
fixture	bytes	premise.marked	parity	parity	yes
fixture	bytes	premise.binding	parity	parity	yes
fixture	bytes	effective	extra-ca	extra-ca	yes
fixture	bytes	overridden	-	-	yes
fixture	bytes	unresolved	-	-	yes
fixture	bytes	message.patch	none	none	yes
fixture	bytes	message.validate	verbatim	verbatim	yes
fixture	bytes	leak.none	leak	leak	yes
fixture	bytes	leak.value	leak	leak	yes
fixture	bytes	leak.resolution-path	clean	clean	yes
fixture	bytes	leak.schema	leak	leak	yes
fixture	bytes	leak.composed-path	clean	clean	yes
fixture	bytes	leak.path+schema	clean	clean	yes
fixture	bytes	leak.path+schema+value	clean	clean	yes
fixture	bytes	base-leak.none	leak	leak	yes
fixture	bytes	base-leak.value	clean	clean	yes
fixture	bytes	base-leak.resolution-path	leak	leak	yes
fixture	bytes	base-leak.schema	clean	clean	yes
fixture	bytes	base-leak.composed-path	leak	leak	yes
fixture	bytes	base-leak.path+schema	clean	clean	yes
fixture	bytes	base-leak.path+schema+value	clean	clean	yes
fixture	bytes	fidelity	ok	ok	yes
fixture	collision	native	pass	pass	yes
fixture	collision	premise.tag	parity	parity	yes
fixture	collision	premise.marked	parity	parity	yes
fixture	collision	premise.binding	parity	parity	yes
fixture	collision	effective	reg-pass	reg-pass	yes
fixture	collision	overridden	-	-	yes
fixture	collision	unresolved	-	-	yes
fixture	collision	message.patch	none	none	yes
fixture	collision	message.validate	verbatim	verbatim	yes
fixture	collision	leak.none	leak	leak	yes
