n	group	row	expected	observed	verdict	transcript
001	revocation	happy	rc:x=0 A.state=completed A.attempts=1 A.responses=1:accepted A.applied_is_artifact=1 A.baseline_rev=2 worker.is=a worker.landed=1 worker.ok=1	baseline=match rc:x=0 A.state=completed A.attempts=1 A.responses=1:accepted A.applied_is_artifact=1 A.baseline_rev=2 worker.is=a worker.landed=1 worker.ok=1	match	transcripts/001-revocation-happy.txt
002	revocation	before-commit	rc:revoke=0 rc:x=3 out:x~event=refused comparison=1  A.state=cancelled A.attempts=0 A.revocation=before-commit worker.is=pre worker.landed=0	baseline=match rc:revoke=0 rc:x=3 out:x~yes A.state=cancelled A.attempts=0 A.revocation=before-commit worker.is=pre worker.landed=0	match	transcripts/002-revocation-before-commit.txt
003	revocation	during-commit	revoker_waited=yes rc:revoke=0 rc:x=3 out:x~event=refused comparison=1  A.state=cancelled A.attempts=0 A.revocation=after-commit worker.is=pre worker.landed=0	baseline=match revoker_waited=yes rc:revoke=0 rc:x=3 out:x~yes A.state=cancelled A.attempts=0 A.revocation=after-commit worker.is=pre worker.landed=0	match	transcripts/003-revocation-during-commit.txt
004	revocation	after-commit	rc:revoke=0 rc:x=3 out:x~event=refused comparison=1  A.state=cancelled A.attempts=0 A.revocation=after-commit worker.is=pre worker.landed=0	baseline=match rc:revoke=0 rc:x=3 out:x~yes A.state=cancelled A.attempts=0 A.revocation=after-commit worker.is=pre worker.landed=0	match	transcripts/004-revocation-after-commit.txt
005	revocation	after-attempt	rc:revoke=0 rc:x=0 A.state=completed A.attempts=1 A.revocation=after-attempt worker.is=a worker.landed=1	baseline=match rc:revoke=0 rc:x=0 A.state=completed A.attempts=1 A.revocation=after-attempt worker.is=a worker.landed=1	match	transcripts/005-revocation-after-attempt.txt
006	revocation	naive-control	rc:revoke=0 out:x~event=approval-checked rc:x=0 A.state=completed A.revocation=before-commit worker.is=a worker.landed=1	baseline=match rc:revoke=0 out:x~yes rc:x=0 A.state=completed A.revocation=before-commit worker.is=a worker.landed=1	match	transcripts/006-revocation-naive-control.txt
007	ownership	before-attempt	rc:takeover=0 rc:x=3 out:x~event=refused comparison=7  rc:y=0 out:y~safe_to_retry_rev= A.state=completed A.owner=Y@2 A.attempts=1 A.attempt_owners=1:Y@2 A.stale_attempts=0 worker.is=a worker.landed=1	baseline=match rc:takeover=0 rc:x=3 out:x~yes rc:y=0 out:y~yes A.state=completed A.owner=Y@2 A.attempts=1 A.attempt_owners=1:Y@2 A.stale_attempts=0 worker.is=a worker.landed=1	match	transcripts/007-ownership-before-attempt.txt
008	ownership	nofence-control	rc:takeover=0 rc:x=4 A.state=sending A.owner=Y@2 A.attempt_owners=1:X@1 A.stale_attempts=1 worker.is=a worker.landed=1	baseline=match rc:takeover=0 rc:x=4 A.state=sending A.owner=Y@2 A.attempt_owners=1:X@1 A.stale_attempts=1 worker.is=a worker.landed=1	match	transcripts/008-ownership-nofence-control.txt
009	ownership	two-executors	second_waited=yes rc:z=3 out:z~event=refused comparison=(0|4)  rc:x=0 A.state=completed A.attempt_owners=1:X@1 worker.is=a worker.landed=1	baseline=match second_waited=yes rc:z=3 out:z~yes rc:x=0 A.state=completed A.attempt_owners=1:X@1 worker.is=a worker.landed=1	match	transcripts/009-ownership-two-executors.txt
010	scope	held	rc:z=3 out:z~event=refused comparison=4  rc:x=0 A.state=completed rc:z-after=3 out:z-after~event=refused comparison=2  B.state=none rc:z-replanned=0 B2.state=completed B2.baseline_rev=3 worker.is=b2 worker.landed=2	baseline=match rc:z=3 out:z~yes rc:x=0 A.state=completed rc:z-after=3 out:z-after~yes B.state=none rc:z-replanned=0 B2.state=completed B2.baseline_rev=3 worker.is=b2 worker.landed=2	match	transcripts/010-scope-held.txt
011	scope	noscope-control	rc:z=0 B.state=completed after-b.is=b rc:x=0 A.state=completed worker.is=a worker.landed=2	baseline=match rc:z=0 B.state=completed after-b.is=b rc:x=0 A.state=completed worker.is=a worker.landed=2	match	transcripts/011-scope-noscope-control.txt
012	fault	netsplit-send	rc:inject-netsplit-worker=0 rc:inject-netjoin-worker=0 rc:x=4 out:x~class=unknown seen:settled.landed rc:y-unaccounted=4 out:y-unaccounted~event=unaccounted rc:account=0 rc:y=0 A.state=completed seen:A.attempts worker.is=a seen:worker.landed	baseline=match rc:inject-netsplit-worker=0 rc:inject-netjoin-worker=0 rc:x=4 out:x~yes settled.landed=0 rc:y-unaccounted=4 out:y-unaccounted~yes rc:account=0 rc:y=0 A.state=completed A.attempts=2 worker.is=a worker.landed=1	match	transcripts/012-fault-netsplit-send.txt
013	fault	early-accounting-hazard	rc:inject-netsplit-worker=0 rc:inject-netjoin-worker=0 rc:x=4 rc:account=0 seen:y.rc seen:classified.state seen:worker.is seen:worker.landed	baseline=match rc:inject-netsplit-worker=0 rc:inject-netjoin-worker=0 rc:x=4 rc:account=0 y.rc=5 classified.state=failed worker.is=pre worker.landed=0	match	transcripts/013-fault-early-accounting-hazard.txt
014	fault	pause-send	rc:inject-pause-worker=0 rc:inject-unpause-worker=0 rc:x=4 out:x~class=unknown seen:settled.landed rc:y-unaccounted=4 rc:account=0 rc:y=0 A.state=completed seen:A.attempts worker.is=a seen:worker.landed	baseline=match rc:inject-pause-worker=0 rc:inject-unpause-worker=0 rc:x=4 out:x~yes settled.landed=0 rc:y-unaccounted=4 rc:account=0 rc:y=0 A.state=completed A.attempts=2 worker.is=a worker.landed=1	match	transcripts/014-fault-pause-send.txt
