n	scenario	backend	row	expected	observed	verdict	transcript
001	s1	postgres	cas	rc:race=0 out:race~wins=20 conflicts=140 busy=0 revisions_recorded=20 duplicate_revisions=0 final_revision=20 lost_updates=0	rc:race=0 out:race~yes revisions_recorded=20 duplicate_revisions=0 final_revision=20 lost_updates=0	match	transcripts/001-s1-postgres-cas.txt
002	s1	postgres	cas-processes	rc:p1=0 rc:p2=0 rc:p3=0 rc:p4=0 duplicate_revisions=0 lost_updates=0 revisions_recorded>9	rc:p1=0 rc:p2=0 rc:p3=0 rc:p4=0 duplicate_revisions=0 lost_updates=0 revisions_recorded=21	match	transcripts/002-s1-postgres-cas-processes.txt
003	s1	postgres	blind-control	rc:race=0 out:race~wins=160 final_revision=20 revisions_recorded=160 lost_updates=140 duplicate_revisions=20	rc:race=0 out:race~yes final_revision=20 revisions_recorded=160 lost_updates=140 duplicate_revisions=20	match	transcripts/003-s1-postgres-blind-control.txt
004	s2	postgres	normal	rc:publish=0 releases=1 artifacts=8 sources=1 incomplete_releases=0	rc:publish=0 releases=1 artifacts=8 sources=1 incomplete_releases=0	match	transcripts/004-s2-postgres-normal.txt
005	s2	postgres	stale-input	rc:write=0 rc:publish=3 out:publish~reason=stale releases=0 artifacts=0 sources=0	rc:write=0 rc:publish=3 out:publish~yes releases=0 artifacts=0 sources=0	match	transcripts/005-s2-postgres-stale-input.txt
006	s2	postgres	fail-at-5	rc:publish=1 out:publish~injected failure releases=0 artifacts=0 sources=0	rc:publish=1 out:publish~yes releases=0 artifacts=0 sources=0	match	transcripts/006-s2-postgres-fail-at-5.txt
007	s2	postgres	client-sigkill	rc:publish=137 releases=0 artifacts=0 sources=0	rc:publish=137 releases=0 artifacts=0 sources=0	match	transcripts/007-s2-postgres-client-sigkill.txt
008	s2	postgres	kill-before-commit	rc:publish=137 after-kill.releases=0 after-kill.artifacts=0 rc:retry=0 out:retry~existing=false releases=1 artifacts=8	rc:publish=137 after-kill.releases=0 after-kill.artifacts=0 rc:retry=0 out:retry~yes releases=1 artifacts=8	match	transcripts/008-s2-postgres-kill-before-commit.txt
009	s2	postgres	retry	rc:first=0 rc:same=0 out:same~existing=true rc:different=3 out:different~reason=conflict releases=1 artifacts=8	rc:first=0 rc:same=0 out:same~yes rc:different=3 out:different~yes releases=1 artifacts=8	match	transcripts/009-s2-postgres-retry.txt
010	s2	postgres	race-locked	rc:publish=0 rc:write=0 releases=1 stale_at_commit=0 out:write~elapsed_ms=[1-9][0-9]{3} 	rc:publish=0 rc:write=0 releases=1 stale_at_commit=0 out:write~yes	match	transcripts/010-s2-postgres-race-locked.txt
011	s2	postgres	race-unlocked-control	rc:publish=0 rc:write=0 releases=1 stale_at_commit=1 rc:write=0	rc:publish=0 rc:write=0 releases=1 stale_at_commit=1 rc:write=0	match	transcripts/011-s2-postgres-race-unlocked-control.txt
012	s3	postgres	race-processes	clients_created=1 clients_scope_busy=7 operations=1 scopes_with_two_active=0 intents_recorded=1	clients_created=1 clients_scope_busy=7 operations=1 scopes_with_two_active=0 intents_recorded=1	match	transcripts/012-s3-postgres-race-processes.txt
013	s3	postgres	retry-same-key	rc:first=0 rc:retry=0 out:retry~op=1 created=false operations=1 intents_recorded=1	rc:first=0 rc:retry=0 out:retry~yes operations=1 intents_recorded=1	match	transcripts/013-s3-postgres-retry-same-key.txt
014	s3	postgres	after-completion	rc:first=0 rc:blocked=3 out:blocked~reason=scope-busy rc:finish=0 rc:second=0 rc:other=0 operations=3 scopes_with_two_active=0	rc:first=0 rc:blocked=3 out:blocked~yes rc:finish=0 rc:second=0 rc:other=0 operations=3 scopes_with_two_active=0	match	transcripts/014-s3-postgres-after-completion.txt
015	s4	postgres	takeover-race-processes	clients_won=1 takeovers=1 stale_attempts=0	clients_won=1 takeovers=1 stale_attempts=0	match	transcripts/015-s4-postgres-takeover-race-processes.txt
016	s4	postgres	stale-owner-fenced	rc:takeover=0 rc:stale=3 out:stale~reason=fenced rc:current=0 attempts=1 stale_attempts=0 op:1=b 2 1	rc:takeover=0 rc:stale=3 out:stale~yes rc:current=0 attempts=1 stale_attempts=0 op:1=b 2 1	match	transcripts/016-s4-postgres-stale-owner-fenced.txt
017	s4	postgres	attempt-race-fenced	rc:attempt=0 rc:takeover=0 attempts=1 takeovers=1 stale_attempts=0 out:takeover~elapsed_ms=[1-9][0-9]{3} 	rc:attempt=0 rc:takeover=0 attempts=1 takeovers=1 stale_attempts=0 out:takeover~yes	match	transcripts/017-s4-postgres-attempt-race-fenced.txt
018	s4	postgres	attempt-race-check-then-insert-control	rc:attempt=0 rc:takeover=0 attempts=1 takeovers=1 stale_attempts=1 rc:takeover=0	rc:attempt=0 rc:takeover=0 attempts=1 takeovers=1 stale_attempts=1 rc:takeover=0	match	transcripts/018-s4-postgres-attempt-race-check-then-insert-control.txt
019	s5	postgres	workers-guarded	rc:w1=0 rc:w2=0 rc:w3=0 rc:w4=0 rc:w5=0 rc:w6=0 rc:w7=0 rc:w8=0 done=400 claims=400 jobs_claimed_twice=0 completions=400 jobs_completed_twice=0	rc:w1=0 rc:w2=0 rc:w3=0 rc:w4=0 rc:w5=0 rc:w6=0 rc:w7=0 rc:w8=0 done=400 claims=400 jobs_claimed_twice=0 completions=400 jobs_completed_twice=0	match	transcripts/019-s5-postgres-workers-guarded.txt
020	s5	postgres	workers-naive	rc:w1=0 rc:w2=0 rc:w3=0 rc:w4=0 rc:w5=0 rc:w6=0 rc:w7=0 rc:w8=0 done=400 claims>400 jobs_claimed_twice>0 seen:completions seen:jobs_completed_twice	rc:w1=0 rc:w2=0 rc:w3=0 rc:w4=0 rc:w5=0 rc:w6=0 rc:w7=0 rc:w8=0 done=400 claims=1105 jobs_claimed_twice=309 completions=401 jobs_completed_twice=1	match	transcripts/020-s5-postgres-workers-naive.txt
021	s5	postgres	lease-expiry	rc:claim-a=0 rc:claim-b-early=3 out:claim-b-early~reason=no-job rc:claim-b=0 out:claim-b~fence=2 rc:late-a=3 out:late-a~reason=fenced rc:complete-b=0 job:1=done 2 b 2	rc:claim-a=0 rc:claim-b-early=3 out:claim-b-early~yes rc:claim-b=0 out:claim-b~yes rc:late-a=3 out:late-a~yes rc:complete-b=0 job:1=done 2 b 2	match	transcripts/021-s5-postgres-lease-expiry.txt
022	s6	postgres	fresh	rc:migrate=0 migration:1=r1 migration:4=r1 has_job=1 has_job_state_check=1	rc:migrate=0 migration:1=r1 migration:4=r1 has_job=1 has_job_state_check=1	match	transcripts/022-s6-postgres-fresh.txt
023	s6	postgres	fail-then-rerun	rc:fail=1 out:fail~injected failure after-fail.migration:2=r1 after-fail.migration:3=unset after-fail.has_job=0 rc:rerun=0 out:rerun~applied=\[3 4\] migration:3=r2 has_job_state_check=1	rc:fail=1 out:fail~yes after-fail.migration:2=r1 after-fail.migration:3=unset after-fail.has_job=0 rc:rerun=0 out:rerun~yes migration:3=r2 has_job_state_check=1	match	transcripts/023-s6-postgres-fail-then-rerun.txt
