base	case	transformation	occurrences	tracers	resolutions	composed-leaves	resolution-leaves	resolution-missed	resolution-extra	schema-leaves	paired	value-substitutions	fidelity	message-patch	message-validate
fixture	alias	alias	1	1	2	2	2	0	0	11	0	0	ok	none	verbatim
fixture	bool	resolution	1	1	1	1	1	0	0	9	1	0	ok	none	verbatim
fixture	bytes	bytes	1	1	1	1	1	0	0	9	0	0	ok	none	verbatim
fixture	collision	resolution	1	1	1	1	1	0	0	11	0	0	ok	none	verbatim
fixture	delete	reference-overwritten-by-literal	1	1	1	0	0	0	0	9	0	0	ok	none	verbatim
fixture	document	resolution	1	1	1	1	1	0	0	9	0	0	ok	none	verbatim
fixture	duplicate-literal	duplicate-value	1	1	1	1	1	0	0	10	0	3	ok	none	verbatim
fixture	embedded-json	embedded-json	1	1	1	1	1	0	0	9	0	0	ok	none	verbatim
fixture	embedded-yaml	embedded-yaml	1	1	1	1	1	0	0	9	0	0	ok	none	verbatim
fixture	int	resolution	1	1	1	1	1	0	0	9	1	0	ok	none	verbatim
fixture	invalid-value	resolution	1	1	1	1	1	0	0	9	1	0	ok	none	redacted
fixture	list-append	list-change	1	1	1	1	1	1	1	9	0	0	ok	none	verbatim
fixture	list-duplicate	list-change	1	1	1	1	1	0	0	9	0	0	ok	none	verbatim
fixture	map	resolution	1	2	1	2	2	0	0	10	0	0	ok	none	verbatim
fixture	map-partial	reference-overwritten-by-literal	1	2	1	1	2	0	1	10	0	0	ok	none	verbatim
fixture	moved-r1	moved	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
fixture	moved-r2	moved	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
fixture	override-literal	reference-overwritten-by-literal	1	1	1	0	1	0	1	10	0	0	ok	none	verbatim
fixture	override-ref	literal-overwritten-by-reference	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
fixture	ref-over-ref	reference-overwritten-by-reference	2	2	2	1	1	0	0	10	0	0	ok	none	verbatim
fixture	rotate-r1	rotation	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
fixture	rotate-r2	rotation	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
fixture	string	resolution	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
fixture	type-mismatch	resolution	1	1	1	0	0	0	0	-	0	0	ok	redacted	skipped
fixture	type-mismatch-two	resolution	2	2	2	0	0	0	0	-	0	0	ok	redacted	skipped
fixture	unidentified-embedded	embedded-yaml	1	0	0	0	0	0	0	9	0	0	ok	none	verbatim
fixture	whole-content	resolution	1	1	1	1	1	0	0	9	0	0	ok	none	verbatim
fixture	yaml-escape	escaping	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
generated	alias	alias	1	1	2	2	2	0	0	11	0	0	ok	none	verbatim
generated	bool	resolution	1	1	1	1	1	0	0	9	1	0	ok	none	verbatim
generated	bytes	bytes	1	1	1	1	1	0	0	9	0	0	ok	none	verbatim
generated	collision	resolution	1	1	1	1	1	0	0	11	0	0	ok	none	verbatim
generated	delete	reference-overwritten-by-literal	1	1	1	0	0	0	0	9	0	0	ok	none	verbatim
generated	document	resolution	1	1	1	1	1	0	0	9	0	0	ok	none	verbatim
generated	duplicate-literal	duplicate-value	1	1	1	1	1	0	0	10	0	3	ok	none	verbatim
generated	embedded-json	embedded-json	1	1	1	1	1	0	0	9	0	0	ok	none	verbatim
generated	embedded-yaml	embedded-yaml	1	1	1	1	1	0	0	9	0	0	ok	none	verbatim
generated	int	resolution	1	1	1	1	1	0	0	9	1	0	ok	none	verbatim
generated	invalid-value	resolution	1	1	1	1	1	0	0	9	1	0	ok	none	redacted
generated	list-append	list-change	1	1	1	1	1	1	1	9	0	0	ok	none	verbatim
generated	list-duplicate	list-change	1	1	1	1	1	0	0	9	0	0	ok	none	verbatim
generated	map	resolution	1	2	1	2	2	0	0	10	0	0	ok	none	verbatim
generated	map-partial	reference-overwritten-by-literal	1	2	1	1	2	0	1	10	0	0	ok	none	verbatim
generated	moved-r1	moved	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
generated	moved-r2	moved	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
generated	override-literal	reference-overwritten-by-literal	1	1	1	0	1	0	1	10	0	0	ok	none	verbatim
generated	override-ref	literal-overwritten-by-reference	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
generated	ref-over-ref	reference-overwritten-by-reference	2	2	2	1	1	0	0	10	0	0	ok	none	verbatim
generated	rotate-r1	rotation	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
generated	rotate-r2	rotation	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
generated	string	resolution	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
generated	type-mismatch	resolution	1	1	1	0	0	0	0	-	0	0	ok	redacted	skipped
generated	type-mismatch-two	resolution	2	2	2	0	0	0	0	-	0	0	ok	redacted	skipped
generated	unidentified-embedded	embedded-yaml	1	0	0	0	0	0	0	9	0	0	ok	none	verbatim
generated	whole-content	resolution	1	1	1	1	1	0	0	9	0	0	ok	none	verbatim
generated	yaml-escape	escaping	1	1	1	1	1	0	0	10	0	0	ok	none	verbatim
