base	case	rep	artifact	secret	class	form	count
fixture	alias	none	diff	reg-secret@1	ref	exact	2
fixture	alias	none	support	base:bootstraptoken1	base	exact	1
fixture	alias	none	support	base:key4	base	exact	1
fixture	alias	none	support	base:key5	base	exact	1
fixture	alias	none	support	base:key6	base	exact	1
fixture	alias	none	support	base:key7	base	exact	1
fixture	alias	none	support	base:key8	base	exact	1
fixture	alias	none	support	base:secret0	base	exact	1
fixture	alias	none	support	base:secretboxencryptionsecret2	base	exact	1
fixture	alias	none	support	base:token3	base	exact	1
fixture	alias	none	support	reg-secret@1	ref	exact	3
fixture	alias	resolution-path	support	base:bootstraptoken1	base	exact	1
fixture	alias	resolution-path	support	base:key4	base	exact	1
fixture	alias	resolution-path	support	base:key5	base	exact	1
fixture	alias	resolution-path	support	base:key6	base	exact	1
fixture	alias	resolution-path	support	base:key7	base	exact	1
fixture	alias	resolution-path	support	base:key8	base	exact	1
fixture	alias	resolution-path	support	base:secret0	base	exact	1
fixture	alias	resolution-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	alias	resolution-path	support	base:token3	base	exact	1
fixture	alias	composed-path	support	base:bootstraptoken1	base	exact	1
fixture	alias	composed-path	support	base:key4	base	exact	1
fixture	alias	composed-path	support	base:key5	base	exact	1
fixture	alias	composed-path	support	base:key6	base	exact	1
fixture	alias	composed-path	support	base:key7	base	exact	1
fixture	alias	composed-path	support	base:key8	base	exact	1
fixture	alias	composed-path	support	base:secret0	base	exact	1
fixture	alias	composed-path	support	base:secretboxencryptionsecret2	base	exact	1
fixture	alias	composed-path	support	base:token3	base	exact	1
fixture	bool	none	diff	wipe@1	ref	keyed	1
fixture	bool	none	support	base:bootstraptoken1	base	exact	1
fixture	bool	none	support	base:key4	base	exact	1
fixture	bool	none	support	base:key5	base	exact	1
fixture	bool	none	support	base:key6	base	exact	1
fixture	bool	none	support	base:key7	base	exact	1
fixture	bool	none	support	base:key8	base	exact	1
fixture	bool	none	support	base:secret0	base	exact	1
