base	case	candidate	order	expected	observed	stage	validate	resolved	superset	effective	message
fixture	alias	native	-	pass	pass	-	pass	-	reg-secret	-	-
fixture	alias	tag	late	differs	differs	-	pass	0	reg-secret	-	-
fixture	alias	tag	early	parity	parity	-	pass	2	reg-secret	reg-secret	-
fixture	alias	marked	late	parity	parity	-	pass	2	reg-secret	reg-secret	-
fixture	alias	marked	early	parity	parity	-	pass	2	reg-secret	reg-secret	-
fixture	alias	binding	late	parity	parity	-	pass	2	reg-secret	reg-secret	-
fixture	alias	binding	early	parity	parity	-	pass	2	reg-secret	reg-secret	-
fixture	bool	native	-	pass	pass	-	pass	-	wipe	-	-
fixture	bool	tag	late	rejected	rejected	compose	-	0	wipe	-	error decoding document /v1alpha1/ (line 1): error decoding to *v1alpha1.Config: yaml: construct errors: line 3: cannot construct !bwref `wipe` into bool
fixture	bool	tag	early	parity	parity	-	pass	1	wipe	- (+unidentifiable: wipe)	-
fixture	bool	marked	late	rejected	rejected	compose	-	0	wipe	-	error decoding document /v1alpha1/ (line 1): error decoding to *v1alpha1.Config: yaml: construct errors: line 3: cannot construct !!str `bwref:wipe` into bool
fixture	bool	marked	early	parity	parity	-	pass	1	wipe	- (+unidentifiable: wipe)	-
fixture	bool	binding	late	parity	parity	-	pass	1	wipe	wipe	-
fixture	bool	binding	early	parity	parity	-	pass	1	wipe	- (+unidentifiable: wipe)	-
fixture	bytes	native	-	pass	pass	-	pass	-	extra-ca	-	-
fixture	bytes	tag	late	rejected	rejected	compose	-	0	extra-ca	-	error decoding document /v1alpha1/ (line 1): error decoding to *v1alpha1.Config: yaml: construct errors: line 3: illegal base64 data at input byte 5
fixture	bytes	tag	early	parity	parity	-	pass	1	extra-ca	extra-ca	-
fixture	bytes	marked	late	rejected	rejected	compose	-	0	extra-ca	-	error decoding document /v1alpha1/ (line 1): error decoding to *v1alpha1.Config: yaml: construct errors: line 3: illegal base64 data at input byte 5
fixture	bytes	marked	early	parity	parity	-	pass	1	extra-ca	extra-ca	-
fixture	bytes	binding	late	parity	parity	-	pass	1	extra-ca	extra-ca	-
fixture	bytes	binding	early	parity	parity	-	pass	1	extra-ca	extra-ca	-
fixture	collision	native	-	pass	pass	-	pass	-	reg-pass	-	-
fixture	collision	tag	late	differs	differs	-	pass	0	reg-pass	-	-
fixture	collision	tag	early	parity	parity	-	pass	1	reg-pass	reg-pass	-
fixture	collision	marked	late	differs	differs	-	pass	2	reg-pass	reg-pass	-
fixture	collision	marked	early	parity	parity	-	pass	1	reg-pass	reg-pass	-
fixture	collision	binding	late	parity	parity	-	pass	1	reg-pass	reg-pass	-
fixture	collision	binding	early	parity	parity	-	pass	1	reg-pass	reg-pass	-
fixture	document	native	-	pass	pass	-	pass	-	roots	-	-
fixture	document	tag	late	differs	differs	-	pass	0	roots	-	-
fixture	document	tag	early	parity	parity	-	pass	1	roots	roots	-
fixture	document	marked	late	parity	parity	-	pass	1	roots	roots	-
fixture	document	marked	early	parity	parity	-	pass	1	roots	roots	-
fixture	document	binding	late	parity	parity	-	pass	1	roots	roots	-
fixture	document	binding	early	parity	parity	-	pass	1	roots	roots	-
fixture	embedded-json	native	-	pass	pass	-	pass	-	app-token	-	-
fixture	embedded-json	tag	late	parity	parity	-	pass	1	app-token	app-token	-
fixture	embedded-json	tag	early	parity	parity	-	pass	1	app-token	app-token	-
fixture	embedded-json	marked	late	parity	parity	-	pass	1	app-token	app-token	-
fixture	embedded-json	marked	early	parity	parity	-	pass	1	app-token	app-token	-
fixture	embedded-json	binding	late	parity	parity	-	pass	1	app-token	app-token	-
fixture	embedded-json	binding	early	parity	parity	-	pass	1	app-token	app-token	-
fixture	embedded-yaml	native	-	pass	pass	-	pass	-	app-pass	-	-
fixture	embedded-yaml	tag	late	parity	parity	-	pass	1	app-pass	app-pass	-
fixture	embedded-yaml	tag	early	parity	parity	-	pass	1	app-pass	app-pass	-
fixture	embedded-yaml	marked	late	parity	parity	-	pass	1	app-pass	app-pass	-
fixture	embedded-yaml	marked	early	parity	parity	-	pass	1	app-pass	app-pass	-
fixture	embedded-yaml	binding	late	parity	parity	-	pass	1	app-pass	app-pass	-
fixture	embedded-yaml	binding	early	parity	parity	-	pass	1	app-pass	app-pass	-
fixture	int	native	-	pass	pass	-	pass	-	prism-port	-	-
fixture	int	tag	late	rejected	rejected	compose	-	0	prism-port	-	error decoding document /v1alpha1/ (line 1): error decoding to *v1alpha1.Config: yaml: construct errors: line 4: cannot construct !bwref `prism-port` into int
fixture	int	tag	early	parity	parity	-	pass	1	prism-port	prism-port	-
fixture	int	marked	late	rejected	rejected	compose	-	0	prism-port	-	error decoding document /v1alpha1/ (line 1): error decoding to *v1alpha1.Config: yaml: construct errors: line 4: cannot construct !!str `bwref:p...` into int
fixture	int	marked	early	parity	parity	-	pass	1	prism-port	prism-port	-
fixture	int	binding	late	parity	parity	-	pass	1	prism-port	prism-port	-
fixture	int	binding	early	parity	parity	-	pass	1	prism-port	prism-port	-
fixture	invalid-value	native	-	invalid	invalid	-	fail	-	dns-domain	-	1 error occurred: * v1alpha1.Config: 1 error occurred: * "e2 not a domain" is not a valid DNS name
fixture	invalid-value	tag	late	differs	differs	-	pass	0	dns-domain	-	-
fixture	invalid-value	tag	early	parity	parity	-	fail	1	dns-domain	dns-domain	1 error occurred: * v1alpha1.Config: 1 error occurred: * "e2 not a domain" is not a valid DNS name
fixture	invalid-value	marked	late	parity	parity	-	fail	1	dns-domain	dns-domain	1 error occurred: * v1alpha1.Config: 1 error occurred: * "e2 not a domain" is not a valid DNS name
fixture	invalid-value	marked	early	parity	parity	-	fail	1	dns-domain	dns-domain	1 error occurred: * v1alpha1.Config: 1 error occurred: * "e2 not a domain" is not a valid DNS name
fixture	invalid-value	binding	late	parity	parity	-	fail	1	dns-domain	dns-domain	1 error occurred: * v1alpha1.Config: 1 error occurred: * "e2 not a domain" is not a valid DNS name
